seed,method_name,gamma_used,iteration,metric_value,env_name,experiment_type
114,discounting_free_vanilla_exact,avg,105,29.69738654708364,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,106,29.697500765865236,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,107,29.697612995974946,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,108,29.697723289340317,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,109,29.697831696083554,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,110,29.697938264599706,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,111,29.69804304163103,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,112,29.698146072337384,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,113,29.69824740036298,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,114,29.698347067899928,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,115,29.698445115748456,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,116,29.698541583374208,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,117,29.698636508962636,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,118,29.698729929470908,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,119,29.69882188067706,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,120,29.69891239722708,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,121,29.699001512679366,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,122,29.69908925954751,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,123,29.6991756693408,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,124,29.699260772602827,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,125,29.69934459894855,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,126,29.699427177099373,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,127,29.69950853491686,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,128,29.699588699434816,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,129,29.69966769688986,env-b2,discounting_free
114,discounting_free_vanilla_exact,avg,130,29.69974555275092,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,0,17.722796226859078,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,1,28.279104485701147,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,2,28.628992364474527,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,3,29.29937215476959,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,4,29.43160232569418,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,5,29.496177878460458,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,6,29.53510951457904,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,7,29.561294858325578,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,8,29.580162966805226,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,9,29.594427809862875,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,10,29.605605428502233,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,11,29.61461167180435,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,12,29.622033078630906,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,13,29.628262711837937,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,14,29.63357372937321,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,15,29.638161726874944,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,16,29.64217033227942,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,17,29.64570731449122,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,18,29.64885507044413,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,19,29.65167765133455,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,20,29.654225588062978,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,21,29.656539277549996,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,22,29.658651404855846,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,23,29.660588705358876,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,24,29.662373266593207,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,25,29.66402350347246,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,26,29.665554898193186,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,27,29.666980568204657,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,28,29.668311706936002,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,29,29.669557929235065,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,30,29.670727544661315,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,31,29.671827775595617,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,32,29.6728649327361,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,33,29.673844557391973,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,34,29.67477153769047,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,35,29.675650204124324,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,36,29.676484408616126,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,37,29.67727759033872,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,38,29.678032830822694,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,39,29.678752900343984,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,40,29.679440297170824,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,41,29.68009728093008,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,42,29.680725901104353,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,43,29.68132802147665,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,44,29.681905341185477,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,45,29.68245941293209,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,46,29.68299165878371,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,47,29.683503383939502,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,48,29.683995788762306,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,49,29.68446997932889,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,50,29.68492697670991,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,51,29.68536772515631,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,52,29.685793099341858,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,53,29.686203910787647,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,54,29.686600913575823,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,55,29.686984809443835,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,56,29.687356252337114,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,57,29.687715852487003,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,58,29.68806418007152,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,59,29.688401768508466,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,60,29.688729117423904,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,61,29.68904669533307,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,62,29.689354942066174,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,63,29.689654270967438,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,64,29.68994507089179,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,65,29.69022770802116,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,66,29.690502527518976,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,67,29.690769855040145,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,68,29.691029998110672,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,69,29.691283247390338,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,70,29.691529877829975,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,71,29.69177014973341,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,72,29.69200430973334,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,73,29.69223259168927,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,74,29.692455217514702,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,75,29.692672397940076,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,76,29.692884333217332,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,77,29.693091213771172,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,78,29.693293220801895,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,79,29.69349052684382,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,80,29.693683296283236,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,81,29.693871685839163,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,82,29.694055845010247,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,83,29.694235916490264,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,84,29.694412036555143,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,85,29.694584335423478,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,86,29.694752937592796,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,87,29.694917962153554,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,88,29.6950795230823,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,89,29.695237729516016,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,90,29.695392686008606,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,91,29.695544492771283,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,92,29.69569324589766,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,93,29.695839037575123,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,94,29.69598195628288,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,95,29.69612208697834,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,96,29.696259511271926,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,97,29.696394307591753,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,98,29.696526551338494,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,99,29.69665631503119,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,100,29.696783668444716,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,101,29.696908678739394,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,102,29.697031410583207,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,103,29.697151926267207,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,104,29.697270285814582,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,105,29.69738654708364,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,106,29.697500765865236,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,107,29.697612995974946,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,108,29.697723289340317,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,109,29.697831696083554,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,110,29.697938264599706,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,111,29.69804304163103,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,112,29.698146072337384,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,113,29.69824740036298,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,114,29.698347067899928,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,115,29.698445115748456,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,116,29.698541583374208,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,117,29.698636508962636,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,118,29.698729929470908,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,119,29.69882188067706,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,120,29.69891239722708,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,121,29.699001512679366,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,122,29.69908925954751,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,123,29.6991756693408,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,124,29.699260772602827,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,125,29.69934459894855,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,126,29.699427177099373,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,127,29.69950853491686,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,128,29.699588699434816,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,129,29.69966769688986,env-b2,discounting_free
115,discounting_free_vanilla_exact,avg,130,29.69974555275092,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,0,17.722796226859078,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,1,28.279104485701147,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,2,28.628992364474527,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,3,29.29937215476959,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,4,29.43160232569418,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,5,29.496177878460458,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,6,29.53510951457904,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,7,29.561294858325578,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,8,29.580162966805226,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,9,29.594427809862875,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,10,29.605605428502233,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,11,29.61461167180435,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,12,29.622033078630906,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,13,29.628262711837937,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,14,29.63357372937321,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,15,29.638161726874944,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,16,29.64217033227942,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,17,29.64570731449122,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,18,29.64885507044413,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,19,29.65167765133455,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,20,29.654225588062978,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,21,29.656539277549996,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,22,29.658651404855846,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,23,29.660588705358876,env-b2,discounting_free
116,discounting_free_vanilla_exact,avg,24,29.662373266593207,env-b2,discounting_free
